Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	8	11,406
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	9	11,905
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	10	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	11	2,026
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2010	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	4	2,163
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	5	17,956
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	6	21,920
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	7	25,810
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	8	55,826
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	9	44,112
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	10	38,912
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	11	13,276
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2011	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	2	550
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	3	632
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	4	10,364
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	5	32,580
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	6	51,253
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	7	60,421
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	8	53,252
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	9	62,625
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	10	46,780
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	11	17,574
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2012	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	1	493
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	2	549
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	3	113
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	4	9,729
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	5	32,783
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	6	40,767
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	7	67,917
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	8	61,793
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	9	46,823
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	10	11,067
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	11	13,238
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2013	12	229
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	1	268
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	2	171
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	3	738
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	4	6,413
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	5	22,530
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	6	33,281
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	7	38,684
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	8	27,100
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	9	22,884
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	10	23,525
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	11	2,783
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2014	12	91
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	1	201
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	2	153
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	3	159
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	4	7,730
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	5	21,037
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	6	30,123
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	7	39,219
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	8	31,261
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	9	23,692
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	10	22,766
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	11	6,827
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2015	12	464
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	1	303
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	2	1,528
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	3	590
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	4	8,161
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	5	23,537
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	6	26,436
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	7	29,380
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	8	37,333
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	9	32,208
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	10	31,823
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	11	7,547
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2016	12	455
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	1	325
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	2	528
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	3	905
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	4	12,594
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	5	19,501
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	6	34,573
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	7	52,459
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	8	53,723
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	9	34,171
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	10	36,762
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	11	9,640
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2017	12	381
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	1	361
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	2	354
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	3	84
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	4	3,319
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	5	18,306
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	6	21,114
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	7	16,533
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	8	14,439
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	9	20,587
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	10	21,819
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	11	3,847
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2018	12	244
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	1	27
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	2	179
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	3	253
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	4	537
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	5	13,187
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	6	23,963
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	7	75,333
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	8	26,011
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	9	19,602
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	10	22,021
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	11	6,031
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2019	12	256
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	1	300
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	2	320
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	3	598
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	4	1,127
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	5	743
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	6	759
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	7	460
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	8	520
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	9	575
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	10	500
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	11	491
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2020	12	544
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	1	483
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	2	425
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	3	521
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	4	569
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	5	1,041
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	6	1,286
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	7	1,200
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	8	3,491
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	9	4,547
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	10	6,556
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	11	200
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2021	12	360
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	1	84
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	2	125
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	3	204
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	4	262
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	5	1,343
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	6	2,109
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	7	2,041
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	8	1,876
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	9	1,811
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	10	2,207
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	11	425
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2022	12	361
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	1	176
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	2	216
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	3	364
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	4	481
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	5	707
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	6	4,170
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	7	5,908
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	8	5,436
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	9	4,280
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	10	2,561
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	11	475
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2023	12	455
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	1	391
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	2	461
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	3	489
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	4	693
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	5	5,750
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	6	8,451
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	7	9,129
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	8	6,447
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	9	5,309
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	10	7,747
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	11	430
Adams NHP	ADAM	National Historical Park	Northeast 	MA	2024	12	359
