Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1985	5	2,780
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1985	6	4,208
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1985	7	4,812
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1985	8	4,636
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1985	9	2,921
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1985	10	3,732
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1985	11	292
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1985	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	4	1,148
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	5	4,337
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	6	4,452
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	7	3,999
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	8	4,230
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	9	2,867
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	10	3,250
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	11	410
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1986	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	4	480
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	5	3,411
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	6	3,093
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	7	4,551
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	8	4,233
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	9	3,460
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	10	4,205
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	11	607
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1987	12	1,577
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	4	1,027
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	5	2,923
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	6	3,045
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	7	4,671
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	8	3,788
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	9	2,859
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	10	3,304
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	11	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1988	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	4	1,064
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	5	2,415
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	6	3,075
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	7	3,792
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	8	3,976
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	9	2,930
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	10	3,935
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	11	547
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1989	12	861
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	4	1,018
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	5	2,167
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	6	2,893
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	7	3,988
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	8	3,821
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	9	2,707
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	10	3,143
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	11	578
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1990	12	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	1	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	2	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	3	0
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	4	1,438
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	5	3,288
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	6	3,511
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	7	4,890
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	8	4,120
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	9	4,159
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	10	4,769
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	11	697
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1991	12	86
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	1	2
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	2	34
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	3	31
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	4	2,907
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	5	3,761
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	6	3,790
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	7	5,334
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	8	3,793
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	9	3,305
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	10	3,695
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	11	689
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1992	12	59
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	1	25
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	2	25
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	3	186
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	4	3,552
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	5	4,754
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	6	7,771
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	7	6,572
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	8	8,142
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	9	5,272
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	10	5,561
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	11	1,191
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1993	12	826
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	1	300
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	2	440
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	3	601
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	4	1,850
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	5	5,402
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	6	6,508
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	7	6,330
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	8	6,218
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	9	5,483
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	10	6,252
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	11	926
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1994	12	869
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	1	393
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	2	376
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	3	505
Adams NHP	ADAM	National Historical Park	Northeast 	MA	1995	4	1,962
